,num_orders,hour,day_of_week,lag_1,lag_2,lag_3,lag_4,lag_5,target
5,21,0,3,32.0,20.0,28.0,14.0,9.0,7.0
6,7,1,3,21.0,32.0,20.0,28.0,14.0,5.0
7,5,1,3,7.0,21.0,32.0,20.0,28.0,17.0
8,17,1,3,5.0,7.0,21.0,32.0,20.0,12.0
9,12,1,3,17.0,5.0,7.0,21.0,32.0,19.0
10,19,1,3,12.0,17.0,5.0,7.0,21.0,25.0
11,25,1,3,19.0,12.0,17.0,5.0,7.0,22.0
12,22,2,3,25.0,19.0,12.0,17.0,5.0,12.0
13,12,2,3,22.0,25.0,19.0,12.0,17.0,19.0
14,19,2,3,12.0,22.0,25.0,19.0,12.0,8.0
15,8,2,3,19.0,12.0,22.0,25.0,19.0,6.0
16,6,2,3,8.0,19.0,12.0,22.0,25.0,4.0
17,4,2,3,6.0,8.0,19.0,12.0,22.0,8.0
18,8,3,3,4.0,6.0,8.0,19.0,12.0,17.0
19,17,3,3,8.0,4.0,6.0,8.0,19.0,7.0
20,7,3,3,17.0,8.0,4.0,6.0,8.0,4.0
21,4,3,3,7.0,17.0,8.0,4.0,6.0,10.0
22,10,3,3,4.0,7.0,17.0,8.0,4.0,20.0
23,20,3,3,10.0,4.0,7.0,17.0,8.0,13.0
24,13,4,3,20.0,10.0,4.0,7.0,17.0,17.0
25,17,4,3,13.0,20.0,10.0,4.0,7.0,5.0
26,5,4,3,17.0,13.0,20.0,10.0,4.0,2.0
27,2,4,3,5.0,17.0,13.0,20.0,10.0,3.0
28,3,4,3,2.0,5.0,17.0,13.0,20.0,3.0
29,3,4,3,3.0,2.0,5.0,17.0,13.0,3.0
30,3,5,3,3.0,3.0,2.0,5.0,17.0,2.0
31,2,5,3,3.0,3.0,3.0,2.0,5.0,0.0
32,0,5,3,2.0,3.0,3.0,3.0,2.0,1.0
33,1,5,3,0.0,2.0,3.0,3.0,3.0,0.0
34,0,5,3,1.0,0.0,2.0,3.0,3.0,0.0
35,0,5,3,0.0,1.0,0.0,2.0,3.0,0.0
36,0,6,3,0.0,0.0,1.0,0.0,2.0,0.0
37,0,6,3,0.0,0.0,0.0,1.0,0.0,2.0
38,2,6,3,0.0,0.0,0.0,0.0,1.0,1.0
39,1,6,3,2.0,0.0,0.0,0.0,0.0,7.0
40,7,6,3,1.0,2.0,0.0,0.0,0.0,2.0
41,2,6,3,7.0,1.0,2.0,0.0,0.0,0.0
42,0,7,3,2.0,7.0,1.0,2.0,0.0,1.0
43,1,7,3,0.0,2.0,7.0,1.0,2.0,1.0
44,1,7,3,1.0,0.0,2.0,7.0,1.0,2.0
45,2,7,3,1.0,1.0,0.0,2.0,7.0,4.0
46,4,7,3,2.0,1.0,1.0,0.0,2.0,7.0
47,7,7,3,4.0,2.0,1.0,1.0,0.0,9.0
48,9,8,3,7.0,4.0,2.0,1.0,1.0,8.0
49,8,8,3,9.0,7.0,4.0,2.0,1.0,6.0
50,6,8,3,8.0,9.0,7.0,4.0,2.0,5.0
51,5,8,3,6.0,8.0,9.0,7.0,4.0,2.0
52,2,8,3,5.0,6.0,8.0,9.0,7.0,4.0
53,4,8,3,2.0,5.0,6.0,8.0,9.0,4.0
54,4,9,3,4.0,2.0,5.0,6.0,8.0,7.0
55,7,9,3,4.0,4.0,2.0,5.0,6.0,14.0
56,14,9,3,7.0,4.0,4.0,2.0,5.0,20.0
57,20,9,3,14.0,7.0,4.0,4.0,2.0,13.0
58,13,9,3,20.0,14.0,7.0,4.0,4.0,11.0
59,11,9,3,13.0,20.0,14.0,7.0,4.0,17.0
60,17,10,3,11.0,13.0,20.0,14.0,7.0,13.0
61,13,10,3,17.0,11.0,13.0,20.0,14.0,2.0
62,2,10,3,13.0,17.0,11.0,13.0,20.0,8.0
63,8,10,3,2.0,13.0,17.0,11.0,13.0,15.0
64,15,10,3,8.0,2.0,13.0,17.0,11.0,9.0
65,9,10,3,15.0,8.0,2.0,13.0,17.0,6.0
66,6,11,3,9.0,15.0,8.0,2.0,13.0,7.0
67,7,11,3,6.0,9.0,15.0,8.0,2.0,16.0
68,16,11,3,7.0,6.0,9.0,15.0,8.0,23.0
69,23,11,3,16.0,7.0,6.0,9.0,15.0,22.0
70,22,11,3,23.0,16.0,7.0,6.0,9.0,22.0
71,22,11,3,22.0,23.0,16.0,7.0,6.0,11.0
72,11,12,3,22.0,22.0,23.0,16.0,7.0,8.0
73,8,12,3,11.0,22.0,22.0,23.0,16.0,4.0
74,4,12,3,8.0,11.0,22.0,22.0,23.0,1.0
75,1,12,3,4.0,8.0,11.0,22.0,22.0,3.0
76,3,12,3,1.0,4.0,8.0,11.0,22.0,3.0
77,3,12,3,3.0,1.0,4.0,8.0,11.0,8.0
78,8,13,3,3.0,3.0,1.0,4.0,8.0,9.0
79,9,13,3,8.0,3.0,3.0,1.0,4.0,9.0
80,9,13,3,9.0,8.0,3.0,3.0,1.0,1.0
81,1,13,3,9.0,9.0,8.0,3.0,3.0,5.0
82,5,13,3,1.0,9.0,9.0,8.0,3.0,0.0
83,0,13,3,5.0,1.0,9.0,9.0,8.0,5.0
84,5,14,3,0.0,5.0,1.0,9.0,9.0,13.0
85,13,14,3,5.0,0.0,5.0,1.0,9.0,16.0
86,16,14,3,13.0,5.0,0.0,5.0,1.0,6.0
87,6,14,3,16.0,13.0,5.0,0.0,5.0,5.0
88,5,14,3,6.0,16.0,13.0,5.0,0.0,3.0
89,3,14,3,5.0,6.0,16.0,13.0,5.0,4.0
90,4,15,3,3.0,5.0,6.0,16.0,13.0,7.0
